id_processo;numero;grau;classe;id_classe;nome_natureza;id_orgao_julgador;nome_orgao_julgador;nome_municipio;id_assunto;flg_juizo_100_digital;flg_nucleo_4;dt_evento;var;sistema
203497288;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36160020005;Vara Única - Juizado Especial Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2026-04-13 00:00:00;Julgados;EPROC
203608073;;G1;Homologação da Transação Extrajudicial;12374;Conhecimento Não Criminal;888690140008;Centro Judiciário de Solução de Conflitos e Cidadania - CEJUSC de Tarauacá;TARAUACA;;Não;Não;2026-04-08 00:00:00;Casos Novos;EPROC
203608073;;G1;Homologação da Transação Extrajudicial;12374;Conhecimento Não Criminal;888690140008;Centro Judiciário de Solução de Conflitos e Cidadania - CEJUSC de Tarauacá;TARAUACA;;Não;Não;2026-06-18 00:00:00;Julgados;EPROC
203503838;;G1;Averiguação de Paternidade;123;Conhecimento Não Criminal;110460010702;2ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2025-12-09 00:00:00;Pendentes;EPROC
203596155;;JE;Procedimento do Juizado Especial da Fazenda Pública;14695;Conhecimento Não Criminal;170530700015;Juizado Especial da Fazenda Pública E Rio Branco;RIO BRANCO;;Não;Não;2026-04-07 00:00:00;Casos Novos;EPROC
203596155;;JE;Procedimento do Juizado Especial da Fazenda Pública;14695;Conhecimento Não Criminal;170530700015;Juizado Especial da Fazenda Pública E Rio Branco;RIO BRANCO;;Não;Não;2026-06-19 00:00:00;Julgados;EPROC
203495672;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;81550140001;Vara Cível de Tarauacá;TARAUACA;;Não;Não;2025-06-22 00:00:00;Pendentes;SAJ
203613862;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;36240010204;4ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-06-25 00:00:00;Julgados;SAJ
203562653;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36410700004;2º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-02-23 00:00:00;Casos Novos;EPROC
203562653;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36410700004;2º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-06-09 00:00:00;Julgados;EPROC
203609704;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;116740030001;Vara Cível de Brasiléia;BRASILÉIA;;Não;Não;2026-06-18 00:00:00;Casos Novos;EPROC
203459785;;G1;Retificação ou Suprimento ou Restauração de Registro Civil;1682;Conhecimento Não Criminal;170490040001;Vara Única - Cível de Epitaciolândia;EPITACIOLANDIA;;Não;Não;2026-01-14 00:00:00;Julgados;SAJ
203565406;;G1;Retificação ou Suprimento ou Restauração de Registro Civil;1682;Conhecimento Não Criminal;36360010801;Vara de Registros Públicos Órfãos e Sucessões e de Cartas Precatórias Cíveis de Rio Branco;RIO BRANCO;;Não;Não;2026-02-03 00:00:00;Casos Novos;EPROC
203565406;;G1;Retificação ou Suprimento ou Restauração de Registro Civil;1682;Conhecimento Não Criminal;36360010801;Vara de Registros Públicos Órfãos e Sucessões e de Cartas Precatórias Cíveis de Rio Branco;RIO BRANCO;;Não;Não;2026-03-31 00:00:00;Julgados;EPROC
203436804;;G1;Busca e Apreensão Infância e Juventude;1438;Conhecimento Não Criminal;81530130001;Vara Cível de Feijó;FEIJO;;Não;Não;2024-07-31 00:00:00;Pendentes;SAJ
