grau;id_orgao_julgador;procedimento;anomes;quantidade_baixados;quantidade_remetidos_ent;quantidade_remetidos_saida;quantidade_novos;quantidade_baixados_12m;quantidade_remetidos_ent_12m;quantidade_remetidos_saida_12m;quantidade_novos_12m
G1;110460010702;Conhecimento;202406;179;19;17;103;1562;202;209;1474
G1;110460010702;Execução Judicial;202406;32;6;3;29;384;149;49;297
G1;110460010702;Conhecimento;202407;195;22;29;167;1633;215;224;1531
G1;110460010702;Execução de Título Extrajudicial;202407;0;0;0;0;1;0;0;4
G1;110460010702;Execução Judicial;202407;54;2;5;50;398;151;52;329
G1;110460010702;Conhecimento;202408;88;17;23;152;1649;217;237;1560
G1;110460010702;Execução Judicial;202408;35;7;5;46;400;158;57;329
G1;110460010702;Execução de Título Extrajudicial;202408;1;0;0;0;2;0;0;4
G1;110460010702;Conhecimento;202409;118;22;23;112;1695;231;255;1548
G1;110460010702;Execução de Título Extrajudicial;202409;1;0;0;0;3;0;0;4
G1;110460010702;Execução Judicial;202409;29;4;3;31;408;159;60;323
G1;110460010702;Execução Judicial;202410;30;6;4;45;398;165;60;327
G1;110460010702;Execução de Título Extrajudicial;202410;0;0;0;0;3;0;0;4
G1;110460010702;Conhecimento;202410;106;22;19;118;1691;243;261;1495
G1;110460010702;Execução de Título Extrajudicial;202411;0;0;0;0;3;0;0;4
G1;110460010702;Conhecimento;202411;117;25;15;149;1661;249;263;1536
G1;110460010702;Execução Judicial;202411;23;2;1;48;399;165;59;366
G1;110460010702;Execução de Título Extrajudicial;202412;0;0;0;0;3;0;0;4
G1;110460010702;Execução Judicial;202412;51;4;2;27;344;154;53;367
G1;110460010702;Conhecimento;202412;165;21;29;87;1533;258;275;1554
G1;110460010702;Conhecimento;202501;56;15;19;109;1574;269;284;1538
G1;110460010702;Execução de Título Extrajudicial;202501;0;0;0;0;3;0;0;4
G1;110460010702;Execução Judicial;202501;39;6;2;23;379;160;49;371
G1;110460010702;Execução de Título Extrajudicial;202502;0;0;0;0;3;0;0;3
G1;110460010702;Execução Judicial;202502;33;8;0;44;384;147;48;396
G1;110460010702;Conhecimento;202502;86;24;19;104;1547;262;291;1525
G1;110460010702;Conhecimento;202503;89;14;17;137;1588;259;299;1523
G1;110460010702;Execução Judicial;202503;49;9;1;36;424;134;46;407
G1;110460010702;Execução de Título Extrajudicial;202503;0;0;0;0;3;0;0;3
G1;110460010702;Execução Judicial;202504;54;11;2;44;455;105;28;441
G1;110460010702;Conhecimento;202504;163;27;32;153;1572;257;265;1496
G1;110460010702;Execução de Título Extrajudicial;202504;0;0;1;1;3;0;1;1
G1;110460010702;Execução de Título Extrajudicial;202505;1;0;0;1;3;0;1;2
G1;110460010702;Conhecimento;202505;122;23;23;133;1484;251;265;1524
G1;110460010702;Execução Judicial;202505;40;3;0;39;469;68;28;462
G1;110460010702;Execução de Título Extrajudicial;202506;0;0;0;0;3;0;1;2
G1;110460010702;Conhecimento;202506;146;31;29;118;1451;263;277;1539
G1;110460010702;Execução Judicial;202506;44;15;7;29;481;77;32;462
G1;110460010702;Conhecimento;202507;188;23;29;143;1444;264;277;1515
G1;110460010702;Execução Judicial;202507;40;10;23;58;467;85;50;470
G1;110460010702;Execução de Título Extrajudicial;202507;0;0;0;0;3;0;1;2
G1;110460010702;Execução Judicial;202508;23;3;10;49;455;81;55;473
G1;110460010702;Conhecimento;202508;163;12;27;126;1519;259;281;1489
G1;110460010702;Execução de Título Extrajudicial;202508;0;0;0;0;2;0;1;2
G1;110460010702;Conhecimento;202509;151;10;0;114;1552;247;258;1491
G1;110460010702;Execução Judicial;202509;48;4;0;48;474;81;52;490
G1;110460010702;Execução Judicial;202510;38;11;25;52;482;86;73;497
G1;110460010702;Conhecimento;202510;137;35;38;123;1583;260;277;1496
G1;110460010702;Conhecimento;202511;152;8;14;121;1618;243;276;1468
G1;110460010702;Execução Judicial;202511;37;9;34;53;496;93;106;502
G1;110460010702;Execução Judicial;202512;24;25;17;20;469;114;121;495
G1;110460010702;Conhecimento;202512;61;13;7;116;1514;235;254;1497
G1;110460010702;Conhecimento;202601;49;19;13;70;1507;239;248;1458
G1;110460010702;Execução Judicial;202601;20;25;16;22;450;133;135;494
G1;110460010702;Execução de Título Extrajudicial;202602;0;0;0;0;1;0;1;2
G1;110460010702;Conhecimento;202602;80;7;14;99;1501;222;243;1453
G1;110460010702;Execução Judicial;202602;17;28;26;46;434;153;161;496
G1;110460010702;Execução Judicial;202603;34;48;30;68;419;192;190;528
G1;110460010702;Execução de Título Extrajudicial;202603;0;0;0;0;1;0;1;2
G1;110460010702;Conhecimento;202603;85;14;14;148;1497;222;240;1464
G1;110460010702;Conhecimento;202604;150;20;11;127;1484;215;219;1438
G1;110460010702;Execução Judicial;202604;49;36;31;49;414;217;219;533
G1;110460010702;Execução de Título Extrajudicial;202604;0;0;0;0;1;0;0;1
